t,o,h,l,c,v
2025-11-27 23:01:00+00:00,59.01,59.01,58.97,58.98,57
2025-11-27 23:02:00+00:00,58.99,58.99,58.96,58.96,36
2025-11-27 23:03:00+00:00,58.95,58.97,58.94,58.96,26
2025-11-27 23:04:00+00:00,58.98,58.99,58.97,58.97,10
2025-11-27 23:05:00+00:00,58.97,58.97,58.96,58.96,5
2025-11-27 23:06:00+00:00,58.95,58.96,58.95,58.95,5
2025-11-27 23:07:00+00:00,58.95,58.96,58.94,58.96,10
2025-11-27 23:08:00+00:00,58.95,58.96,58.95,58.96,6
2025-11-27 23:09:00+00:00,58.95,58.96,58.94,58.95,10
2025-11-27 23:10:00+00:00,58.95,58.95,58.92,58.94,35
2025-11-27 23:11:00+00:00,58.94,58.94,58.94,58.94,5
2025-11-27 23:12:00+00:00,58.95,58.95,58.94,58.94,3
2025-11-27 23:13:00+00:00,58.94,58.94,58.94,58.94,7
2025-11-27 23:14:00+00:00,58.95,58.96,58.94,58.96,10
2025-11-27 23:15:00+00:00,58.96,58.96,58.95,58.96,14
2025-11-27 23:16:00+00:00,58.95,58.96,58.94,58.95,33
2025-11-27 23:17:00+00:00,58.95,58.96,58.94,58.94,14
2025-11-27 23:18:00+00:00,58.95,58.95,58.94,58.95,11
2025-11-27 23:19:00+00:00,58.95,58.96,58.95,58.96,7
2025-11-27 23:20:00+00:00,58.96,58.96,58.95,58.95,11
2025-11-27 23:21:00+00:00,58.95,58.96,58.93,58.95,38
2025-11-27 23:22:00+00:00,58.95,58.96,58.95,58.96,6
2025-11-27 23:23:00+00:00,58.96,58.96,58.95,58.96,7
2025-11-27 23:24:00+00:00,58.95,58.96,58.95,58.96,6
2025-11-27 23:25:00+00:00,58.95,58.96,58.94,58.94,21
2025-11-27 23:26:00+00:00,58.95,58.95,58.94,58.94,15
2025-11-27 23:27:00+00:00,58.94,58.94,58.93,58.94,8
2025-11-27 23:28:00+00:00,58.94,58.96,58.94,58.96,8
2025-11-27 23:29:00+00:00,58.96,58.96,58.95,58.96,9
2025-11-27 23:30:00+00:00,58.95,58.98,58.94,58.97,29
2025-11-27 23:31:00+00:00,58.97,58.97,58.96,58.97,9
2025-11-27 23:32:00+00:00,58.96,58.97,58.96,58.96,14
2025-11-27 23:33:00+00:00,58.97,58.97,58.95,58.97,14
2025-11-27 23:34:00+00:00,58.97,58.97,58.97,58.97,5
2025-11-27 23:35:00+00:00,58.97,58.97,58.97,58.97,4
2025-11-27 23:36:00+00:00,58.97,58.97,58.97,58.97,7
2025-11-27 23:37:00+00:00,58.97,58.97,58.97,58.97,12
2025-11-27 23:38:00+00:00,58.97,58.97,58.96,58.96,8
2025-11-27 23:39:00+00:00,58.96,58.97,58.96,58.96,7
2025-11-27 23:40:00+00:00,58.97,58.97,58.97,58.97,5
2025-11-27 23:41:00+00:00,58.97,58.98,58.97,58.98,3
2025-11-27 23:42:00+00:00,58.98,58.98,58.96,58.97,5
2025-11-27 23:43:00+00:00,58.97,58.97,58.97,58.97,5
2025-11-27 23:44:00+00:00,58.97,58.97,58.97,58.97,4
2025-11-27 23:45:00+00:00,58.98,58.98,58.97,58.97,5
2025-11-27 23:46:00+00:00,58.98,58.98,58.98,58.98,17
2025-11-27 23:47:00+00:00,58.98,58.98,58.98,58.98,3
2025-11-27 23:48:00+00:00,58.97,58.98,58.97,58.98,4
2025-11-27 23:49:00+00:00,58.98,58.98,58.98,58.98,13
2025-11-27 23:50:00+00:00,58.98,58.98,58.97,58.98,10
2025-11-27 23:51:00+00:00,58.98,58.98,58.98,58.98,11
2025-11-27 23:52:00+00:00,58.98,59.0,58.98,59.0,18
2025-11-27 23:53:00+00:00,59.0,59.0,58.98,58.99,27
2025-11-27 23:54:00+00:00,58.99,58.99,58.99,58.99,7
2025-11-27 23:56:00+00:00,59.0,59.0,59.0,59.0,21
2025-11-27 23:57:00+00:00,59.0,59.0,59.0,59.0,1
2025-11-27 23:58:00+00:00,59.0,59.0,59.0,59.0,10
2025-11-27 23:59:00+00:00,59.0,59.0,58.99,58.99,6
2025-11-28 00:00:00+00:00,58.99,59.0,58.98,58.98,30
2025-11-28 00:01:00+00:00,58.98,58.99,58.97,58.97,9
2025-11-28 00:02:00+00:00,58.98,58.98,58.96,58.96,20
2025-11-28 00:03:00+00:00,58.96,58.96,58.95,58.95,31
2025-11-28 00:04:00+00:00,58.96,58.96,58.96,58.96,7
2025-11-28 00:05:00+00:00,58.96,58.97,58.95,58.95,8
2025-11-28 00:06:00+00:00,58.96,58.96,58.96,58.96,4
2025-11-28 00:07:00+00:00,58.95,58.95,58.95,58.95,11
2025-11-28 00:08:00+00:00,58.95,58.95,58.94,58.95,4
2025-11-28 00:09:00+00:00,58.95,58.95,58.95,58.95,3
2025-11-28 00:10:00+00:00,58.94,58.95,58.94,58.95,9
2025-11-28 00:11:00+00:00,58.95,58.95,58.94,58.94,2
2025-11-28 00:12:00+00:00,58.94,58.94,58.94,58.94,2
2025-11-28 00:13:00+00:00,58.94,58.95,58.94,58.95,3
2025-11-28 00:14:00+00:00,58.94,58.95,58.94,58.95,4
2025-11-28 00:16:00+00:00,58.95,58.95,58.94,58.95,18
2025-11-28 00:17:00+00:00,58.94,58.95,58.94,58.95,4
2025-11-28 00:18:00+00:00,58.94,58.94,58.93,58.93,18
2025-11-28 00:19:00+00:00,58.93,58.93,58.93,58.93,21
2025-11-28 00:20:00+00:00,58.94,58.94,58.94,58.94,1
2025-11-28 00:22:00+00:00,58.94,58.94,58.94,58.94,8
2025-11-28 00:23:00+00:00,58.94,58.94,58.94,58.94,1
2025-11-28 00:24:00+00:00,58.93,58.94,58.93,58.93,15
2025-11-28 00:25:00+00:00,58.93,58.94,58.92,58.94,22
2025-11-28 00:26:00+00:00,58.94,58.95,58.93,58.94,12
2025-11-28 00:27:00+00:00,58.93,58.95,58.93,58.94,4
2025-11-28 00:28:00+00:00,58.94,58.94,58.94,58.94,8
2025-11-28 00:29:00+00:00,58.94,58.94,58.94,58.94,1
2025-11-28 00:30:00+00:00,58.94,58.94,58.94,58.94,3
2025-11-28 00:31:00+00:00,58.95,58.97,58.95,58.97,26
2025-11-28 00:32:00+00:00,58.97,58.97,58.97,58.97,2
2025-11-28 00:33:00+00:00,58.97,58.98,58.97,58.98,14
2025-11-28 00:34:00+00:00,58.98,58.98,58.97,58.98,14
2025-11-28 00:35:00+00:00,58.98,58.99,58.98,58.99,3
2025-11-28 00:36:00+00:00,58.99,59.0,58.98,59.0,29
2025-11-28 00:37:00+00:00,59.0,59.0,58.99,59.0,3
2025-11-28 00:38:00+00:00,59.0,59.01,59.0,59.01,34
2025-11-28 00:39:00+00:00,59.0,59.01,59.0,59.0,20
2025-11-28 00:40:00+00:00,59.01,59.01,59.0,59.0,4
2025-11-28 00:41:00+00:00,59.01,59.01,59.0,59.0,5
2025-11-28 00:42:00+00:00,59.0,59.01,59.0,59.01,14
2025-11-28 00:43:00+00:00,59.01,59.01,59.01,59.01,28
2025-11-28 00:44:00+00:00,59.0,59.0,59.0,59.0,1
2025-11-28 00:45:00+00:00,59.0,59.01,59.0,59.01,8
2025-11-28 00:46:00+00:00,59.01,59.01,59.01,59.01,5
2025-11-28 00:47:00+00:00,59.01,59.01,59.01,59.01,2
2025-11-28 00:48:00+00:00,59.01,59.02,59.0,59.0,13
2025-11-28 00:49:00+00:00,59.01,59.01,59.01,59.01,3
2025-11-28 00:50:00+00:00,59.02,59.02,59.01,59.01,14
2025-11-28 00:51:00+00:00,59.01,59.02,59.01,59.02,3
2025-11-28 00:52:00+00:00,59.01,59.02,59.01,59.01,4
2025-11-28 00:53:00+00:00,59.01,59.02,59.01,59.01,7
2025-11-28 00:54:00+00:00,59.02,59.02,59.01,59.01,7
2025-11-28 00:55:00+00:00,59.01,59.01,59.0,59.0,12
2025-11-28 00:56:00+00:00,58.99,59.0,58.99,58.99,6
2025-11-28 00:58:00+00:00,59.0,59.0,59.0,59.0,1
2025-11-28 00:59:00+00:00,59.0,59.0,59.0,59.0,1
2025-11-28 01:00:00+00:00,59.0,59.02,58.98,59.02,110
2025-11-28 01:01:00+00:00,59.02,59.02,58.98,59.0,52
2025-11-28 01:02:00+00:00,59.0,59.02,58.98,59.02,41
2025-11-28 01:03:00+00:00,59.03,59.04,59.02,59.03,32
2025-11-28 01:04:00+00:00,59.04,59.05,59.03,59.04,48
2025-11-28 01:05:00+00:00,59.04,59.04,59.03,59.03,15
2025-11-28 01:06:00+00:00,59.03,59.05,59.03,59.05,14
2025-11-28 01:07:00+00:00,59.05,59.05,59.03,59.03,13
2025-11-28 01:08:00+00:00,59.02,59.02,59.02,59.02,5
2025-11-28 01:09:00+00:00,59.02,59.02,59.01,59.02,4
2025-11-28 01:10:00+00:00,59.02,59.02,59.01,59.01,5
2025-11-28 01:11:00+00:00,59.01,59.02,59.01,59.01,5
2025-11-28 01:12:00+00:00,59.01,59.02,59.01,59.02,11
2025-11-28 01:13:00+00:00,59.01,59.01,59.0,59.0,6
2025-11-28 01:14:00+00:00,59.0,59.0,59.0,59.0,3
2025-11-28 01:15:00+00:00,59.02,59.04,59.02,59.02,20
2025-11-28 01:16:00+00:00,59.03,59.05,59.03,59.05,28
2025-11-28 01:17:00+00:00,59.05,59.06,59.05,59.06,24
2025-11-28 01:18:00+00:00,59.06,59.06,59.03,59.03,25
2025-11-28 01:19:00+00:00,59.03,59.03,58.99,58.99,23
2025-11-28 01:20:00+00:00,58.98,58.99,58.97,58.97,15
2025-11-28 01:21:00+00:00,58.97,58.98,58.97,58.97,18
2025-11-28 01:22:00+00:00,58.99,59.0,58.97,59.0,21
2025-11-28 01:23:00+00:00,59.0,59.02,59.0,59.02,16
2025-11-28 01:24:00+00:00,59.02,59.02,59.02,59.02,6
2025-11-28 01:25:00+00:00,59.02,59.02,59.01,59.01,5
2025-11-28 01:26:00+00:00,59.01,59.02,59.0,59.01,10
2025-11-28 01:27:00+00:00,59.01,59.01,59.0,59.0,6
2025-11-28 01:28:00+00:00,58.99,58.99,58.98,58.98,11
2025-11-28 01:29:00+00:00,58.98,58.99,58.98,58.99,8
2025-11-28 01:30:00+00:00,58.98,58.99,58.97,58.99,16
2025-11-28 01:31:00+00:00,58.99,59.0,58.99,59.0,9
2025-11-28 01:32:00+00:00,59.0,59.0,59.0,59.0,2
2025-11-28 01:33:00+00:00,59.0,59.0,59.0,59.0,2
2025-11-28 01:34:00+00:00,59.0,59.0,59.0,59.0,3
2025-11-28 01:35:00+00:00,59.0,59.0,59.0,59.0,4
2025-11-28 01:36:00+00:00,58.99,58.99,58.95,58.97,23
2025-11-28 01:37:00+00:00,58.96,58.96,58.94,58.94,42
2025-11-28 01:38:00+00:00,58.94,58.94,58.93,58.93,17
2025-11-28 01:39:00+00:00,58.92,58.92,58.89,58.91,86
2025-11-28 01:40:00+00:00,58.91,58.92,58.91,58.92,8
2025-11-28 01:41:00+00:00,58.93,58.93,58.92,58.92,17
2025-11-28 01:42:00+00:00,58.92,58.92,58.92,58.92,1
