t,o,h,l,c,v
2025-11-11 23:01:00+00:00,4135.8,4137.5,4135.7,4137.2,393
2025-11-11 23:02:00+00:00,4137.2,4137.9,4136.7,4137.0,230
2025-11-11 23:03:00+00:00,4137.2,4138.0,4135.6,4137.8,279
2025-11-11 23:04:00+00:00,4137.6,4138.2,4136.7,4137.1,193
2025-11-11 23:05:00+00:00,4137.0,4137.1,4135.9,4136.2,192
2025-11-11 23:06:00+00:00,4136.1,4137.1,4135.9,4136.5,108
2025-11-11 23:07:00+00:00,4136.3,4136.9,4136.0,4136.2,89
2025-11-11 23:08:00+00:00,4136.1,4136.1,4135.3,4135.7,116
2025-11-11 23:09:00+00:00,4135.3,4136.0,4135.2,4135.9,101
2025-11-11 23:10:00+00:00,4135.9,4136.9,4135.6,4136.8,141
2025-11-11 23:11:00+00:00,4136.8,4138.8,4136.6,4138.0,296
2025-11-11 23:12:00+00:00,4137.8,4139.2,4137.5,4139.1,233
2025-11-11 23:13:00+00:00,4138.9,4139.5,4138.1,4138.4,234
2025-11-11 23:14:00+00:00,4138.3,4139.6,4138.3,4139.6,111
2025-11-11 23:15:00+00:00,4139.3,4140.8,4139.0,4140.4,481
2025-11-11 23:16:00+00:00,4140.4,4141.5,4140.4,4141.3,366
2025-11-11 23:17:00+00:00,4141.2,4141.5,4140.4,4141.1,184
2025-11-11 23:18:00+00:00,4141.1,4142.0,4140.9,4141.7,229
2025-11-11 23:19:00+00:00,4141.4,4141.5,4140.1,4141.2,208
2025-11-11 23:20:00+00:00,4141.5,4143.0,4140.8,4143.0,288
2025-11-11 23:21:00+00:00,4143.0,4143.5,4142.1,4142.1,356
2025-11-11 23:22:00+00:00,4142.4,4143.3,4142.1,4142.5,165
2025-11-11 23:23:00+00:00,4142.7,4142.8,4142.1,4142.4,135
2025-11-11 23:24:00+00:00,4142.2,4144.3,4142.2,4143.6,348
2025-11-11 23:25:00+00:00,4143.7,4145.3,4143.3,4145.3,308
2025-11-11 23:26:00+00:00,4145.1,4145.3,4144.2,4144.9,233
2025-11-11 23:27:00+00:00,4145.0,4145.8,4143.6,4143.9,326
2025-11-11 23:28:00+00:00,4143.9,4144.8,4143.9,4144.3,182
2025-11-11 23:29:00+00:00,4144.5,4145.2,4144.4,4144.9,171
2025-11-11 23:30:00+00:00,4145.0,4145.0,4143.3,4143.8,260
2025-11-11 23:31:00+00:00,4143.8,4144.1,4142.9,4143.3,178
2025-11-11 23:32:00+00:00,4143.1,4144.9,4142.6,4144.8,321
2025-11-11 23:33:00+00:00,4144.8,4146.8,4143.9,4145.8,531
2025-11-11 23:34:00+00:00,4146.0,4146.2,4144.1,4144.5,248
2025-11-11 23:35:00+00:00,4144.6,4146.2,4143.7,4145.9,219
2025-11-11 23:36:00+00:00,4146.1,4146.7,4145.5,4145.9,247
2025-11-11 23:37:00+00:00,4146.1,4147.4,4145.3,4146.4,416
2025-11-11 23:38:00+00:00,4146.2,4147.5,4146.1,4146.9,335
2025-11-11 23:39:00+00:00,4147.0,4148.7,4147.0,4148.2,485
2025-11-11 23:40:00+00:00,4148.1,4150.3,4147.9,4149.4,688
2025-11-11 23:41:00+00:00,4149.2,4149.6,4148.3,4148.6,378
2025-11-11 23:42:00+00:00,4148.6,4150.0,4148.6,4149.7,218
2025-11-11 23:43:00+00:00,4149.6,4149.9,4148.7,4149.5,248
2025-11-11 23:44:00+00:00,4149.5,4149.9,4149.0,4149.7,193
2025-11-11 23:45:00+00:00,4149.6,4150.2,4149.2,4149.4,261
2025-11-11 23:46:00+00:00,4149.4,4150.8,4149.4,4150.0,334
2025-11-11 23:47:00+00:00,4150.2,4150.2,4149.2,4149.3,180
2025-11-11 23:48:00+00:00,4149.2,4149.7,4147.9,4147.9,310
2025-11-11 23:49:00+00:00,4148.0,4149.4,4147.7,4149.4,273
